time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,compile_warmup_wall_ms,warmup_wall_ms,measured_kernel_wall_ms,measured_kernel_mean_ms,active_steps,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std
0.0,0.0,0.0,0.0,0.0,0.1419040000000002,0.3456720000000015,0.1834662000000003,0.1434279999999995,0.0811054594325196,0.0,0.141516,0.1109728,0.138036,0.0555536564499583,0.0,0.0,0.0,0.0,0.0,1621.6328860027716,1621.6328860027716,262.81897496664897,52.56379499332979,5,2560,32,32,16,1,4096,1,64,0,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.2921659999999971,0.549125000000003,0.3441622000000003,0.2931339999999995,0.1024821815037144,0.0,0.3035909999999999,0.2405128,0.298671,0.120275311103152,0.0,0.0,0.0,0.0,0.0,0.0,29.21550598694012,70.16716001089662,14.033432002179325,5,2560,32,32,16,1,4096,1,64,64,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.4320780000000019,0.7044339999999983,0.5399095999999995,0.4409610000000043,0.1251952117081161,0.1829939999999999,0.427828,0.3769329999999999,0.424468,0.0969777055946365,0.0,0.0,0.0,0.0,0.0,0.0,42.39671700634062,99.73945701494812,19.947891402989622,5,2560,32,32,16,1,4096,1,64,128,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5689439999999979,0.8789810000000045,0.7448862000000032,0.8481760000000069,0.1417432900851403,0.236193,0.548505,0.4483872,0.546664,0.128181800874227,0.0,0.0,0.0,0.0,0.0,0.0,54.5061849988997,123.64677299046888,24.729354598093774,5,2560,32,32,16,1,4096,1,64,192,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.7129729999999999,1.1485690000000035,0.9121146000000044,0.9620900000000008,0.1660752624716858,0.162755,0.674901,0.3488538,0.248992,0.1943098968672465,0.0,0.0,0.0,0.0,0.0,0.0,64.48638095753267,437.0490880100988,87.40981760201976,5,2560,32,32,16,1,4096,1,64,256,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.8595310000000121,1.192795999999998,1.0096492000000024,0.9141669999999928,0.1503407003128541,0.189474,0.6621809999999999,0.3655251999999999,0.204274,0.2106006949574478,0.0,0.0,0.0,0.0,0.0,0.0,77.31560099637136,171.53891402995214,34.30778280599043,5,2560,32,32,16,1,4096,1,64,320,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9895110000000028,1.358940999999991,1.0717015999999968,0.9940269999999872,0.1442838548966554,0.0,0.6493820000000001,0.272592,0.226793,0.2101307852200624,0.0,0.0,0.0,0.0,0.0,0.0,84.65040702139959,531.1846330296248,106.23692660592496,5,2560,32,32,16,1,4096,1,64,384,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.135462,1.535481999999995,1.3372018000000003,1.40710200000001,0.1694589899419894,0.2529119999999999,0.4141080000000001,0.3257744,0.322791,0.0612557364451689,0.0,0.0,0.0,0.0,0.0,0.0,96.77100600674748,230.19876901526004,46.03975380305201,5,2560,32,32,16,1,4096,1,64,448,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.2750359999999867,1.64343600000003,1.3541268000000184,1.2852929999999938,0.1447828168774242,0.2912310000000001,0.619582,0.4205396,0.431987,0.120597051857166,0.0,0.0,0.0,0.0,0.0,0.0,454.5270249946043,255.78145199688151,51.1562903993763,5,2560,32,32,16,1,4096,1,64,512,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.4112369999999732,1.48747199999999,1.4586069999999869,1.466887999999994,0.0267449257692057,0.34367,0.869606,0.4812884,0.35435,0.2011691207413304,0.0,0.0,0.0,0.0,0.0,0.0,122.43705498985946,639.9918199749663,127.99836399499328,5,2560,32,32,16,1,4096,1,64,576,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.555983000000004,1.8673280000000405,1.6497738000000024,1.6144580000000124,0.1132738946861308,0.385868,1.189548,0.6202903999999999,0.500946,0.2896437905273303,0.0,0.0,0.0,0.0,0.0,0.0,119.04346599476412,692.3752520233393,138.47505040466783,5,2560,32,32,16,1,4096,1,64,640,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.6906549999999865,2.1187719999999945,1.8388953999999853,1.7220649999999766,0.1673123388475622,0.4361079999999999,1.222567,0.6761573999999999,0.4749469999999999,0.2994279163756111,0.0,0.0,0.0,0.0,0.0,0.0,143.24102399405092,729.610025009606,145.9220050019212,5,2560,32,32,16,1,4096,1,64,704,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.8938439999999503,2.249388000000032,2.0842060000000058,2.1536759999999933,0.1365312061149502,0.533225,1.289485,0.7347796,0.5375049999999999,0.293153132974287,0.0,0.0,0.0,0.0,0.0,0.0,150.5395700223744,717.7061010152102,143.54122020304203,5,2560,32,32,16,1,4096,1,64,768,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.9847970000000144,2.243421000000013,2.0414054000000013,1.9947509999999784,0.1011186848700136,0.5731040000000001,1.581657,0.8538366,0.5787040000000001,0.3930477982116678,0.0,0.0,0.0,0.0,0.0,0.0,538.0149019765668,409.5155780087225,81.9031156017445,5,2560,32,32,16,1,4096,1,64,832,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.120569000000032,2.523927999999996,2.2674367999999983,2.1278199999999754,0.1783991422797771,0.6180630000000001,1.253566,0.9130108,1.0090720000000002,0.2489551817379184,0.0,0.0,0.0,0.0,0.0,0.0,551.7080689896829,855.7974419672973,171.15948839345947,5,2560,32,32,16,1,4096,1,64,896,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.26920800000004,2.7407980000000243,2.377650400000032,2.271465000000051,0.1834360824577277,0.665181,1.311504,0.8763016,0.682781,0.2636182743313521,0.0,0.0,0.0,0.0,0.0,0.0,180.79135898733512,848.1970430002548,169.63940860005096,5,2560,32,32,16,1,4096,1,64,960,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.419869999999998,2.889261999999987,2.6524823999999976,2.678634000000004,0.176454914523326,0.6956610000000001,0.8384069999999999,0.7588272,0.7376599999999999,0.0613962932444622,0.0,0.0,0.0,0.0,0.0,0.0,194.47617599507797,1219.3434169748798,243.868683394976,5,2560,32,32,16,1,4096,1,64,1024,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.571199999999958,2.9517330000000688,2.7848721999999952,2.850143000000005,0.1424961850204061,0.751579,1.2627560000000002,0.948064,0.7677390000000001,0.2319984043341678,0.0,0.0,0.0,0.0,0.0,0.0,212.60279597481716,903.39731000131,180.679462000262,5,2560,32,32,16,1,4096,1,64,1088,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.091882999999935,3.298275999999928,3.189807599999984,3.165962000000057,0.0719438222076007,0.70926,0.7829780000000001,0.7568269999999999,0.768299,0.0255143232009003,0.0,0.0,0.0,0.0,0.0,0.0,667.0212639728561,962.9953799885698,192.59907599771395,5,2560,32,32,16,1,4096,1,64,1152,True,triton,0.0,0.0,0.0,0.0,0.0
