time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,compile_warmup_wall_ms,warmup_wall_ms,measured_kernel_wall_ms,measured_kernel_mean_ms,active_steps,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std
0.0,0.0,0.0,0.0,0.0,0.17007800000000003,0.29310299999999984,0.2389803999999997,0.2446809999999997,0.03940573702191081,0.032242999999999994,0.03753299999999996,0.03555260000000003,0.03588900000000007,0.0019478967734456597,0.0,0.0,0.0,0.0,0.0,15152.02528500231,15152.02528500231,42.83047397620976,8.566094795241952,5,5120,40,8,16,1,4096,1,64,0,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1422680000000001,0.2474939999999994,0.19546660000000018,0.20840100000000042,0.040387084126487525,0.03532899999999995,0.039894000000000235,0.03736340000000001,0.03669099999999992,0.0019513271996260367,0.0,0.0,0.0,0.0,0.0,0.0,1294.7011360083707,63.14187397947535,12.62837479589507,5,5120,40,8,16,1,4096,1,64,64,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.09445699999999968,0.6312499999999968,0.22939339999999925,0.1401409999999999,0.20238485594391567,0.04890599999999984,0.05090899999999965,0.04996419999999996,0.05042800000000022,0.0008159187214422796,0.0,0.0,0.0,0.0,0.0,0.0,1272.532607021276,83.35809002164751,16.671618004329503,5,5120,40,8,16,1,4096,1,64,128,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.06378999999999999,0.6054360000000029,0.3022954000000001,0.13373000000000015,0.24788338015090894,0.055115999999999644,0.05771899999999994,0.05675819999999996,0.057039000000000215,0.0008752058957755258,0.0,0.0,0.0,0.0,0.0,0.0,1312.7443190314807,103.8953679963015,20.7790735992603,5,5120,40,8,16,1,4096,1,64,192,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.07260000000000008,0.9168489999999979,0.6910654,0.7825469999999995,0.3152775443691478,0.06933600000000001,0.07330100000000005,0.070617,0.07033499999999993,0.0014007956310612038,0.0,0.0,0.0,0.0,0.0,0.0,1341.3965159561485,144.71914898604155,28.94382979720831,5,5120,40,8,16,1,4096,1,64,256,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9202960000000032,1.400990999999998,1.2996028000000017,1.3920170000000067,0.189684671439101,0.07530499999999961,0.07646699999999987,0.07568859999999981,0.07538399999999956,0.0004539835239302327,0.0,0.0,0.0,0.0,0.0,0.0,1812.2258970397525,210.89535095961764,42.17907019192353,5,5120,40,8,16,1,4096,1,64,320,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9270629999999997,1.4703340000000054,1.316268000000002,1.3949470000000097,0.1967997655760812,0.08679699999999935,0.09673500000000013,0.09136579999999994,0.09096600000000013,0.003162996136577062,0.0,0.0,0.0,0.0,0.0,0.0,1356.0145029914565,411.3816950120963,82.27633900241926,5,5120,40,8,16,1,4096,1,64,384,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9243879999999993,1.4584979999999934,1.2202309999999998,1.3962640000000013,0.2422998051852299,0.09124600000000078,0.12577800000000003,0.1005716000000001,0.09537100000000033,0.012714808321008944,0.0,0.0,0.0,0.0,0.0,0.0,1380.2116599981673,421.4068140136078,84.28136280272156,5,5120,40,8,16,1,4096,1,64,448,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9312299999999969,1.814128999999965,1.3905119999999933,1.4025599999999954,0.2795835845917901,0.1127580000000005,0.15846600000000013,0.12299679999999995,0.11491999999999984,0.017758026415117284,0.0,0.0,0.0,0.0,0.0,0.0,1350.980251969304,448.2864899910055,89.6572979982011,5,5120,40,8,16,1,4096,1,64,512,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9349570000000009,1.4112030000000042,1.2266602000000038,1.4100489999999997,0.2254143515479017,0.11471899999999824,0.13086300000000028,0.12063979999999948,0.11924499999999967,0.0054022629850837625,0.0,0.0,0.0,0.0,0.0,0.0,1412.1568039990962,451.60546497209,90.321092994418,5,5120,40,8,16,1,4096,1,64,576,True,triton,0.0,0.0,0.0,0.0,0.0
