time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,compile_warmup_wall_ms,warmup_wall_ms,measured_kernel_wall_ms,measured_kernel_mean_ms,active_steps,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.250912,0.285071,0.25329100000000004,0.251512,0.007172187094205347,2.3922870000000005,2.439285,2.4098201500000003,2.4071065000000003,0.012909266924481052,2.734125,2.8786810000000003,2.8378778000000002,2.8428620000000002,0.030985877162991556,1.637097,1.6632620000000002,1.6548963500000002,1.6557370000000002,0.0063416697901656745,2.435052,2.478611,2.4582520000000003,2.4581524999999997,0.011401706201266478,2.3544080000000003,2.3856059999999997,2.37330345,2.3736870000000003,0.007013787468087352,24.2057,24.835443,24.37430125,24.345516,0.13563881347935622,2.041224,2.070582,2.0525831,2.051703,0.005945941160993771,12.163308,12.503538,12.2755686,12.264485,0.07768423668119556,0.32939,0.34763,0.331844,0.33099,0.0038679250251265206,3834.7094749915414,3834.7094749915414,1050.3227539593354,1050.3227539593354,1,28,4,3584,18944,152064,True,4096,1
0.249752,0.284152,0.25241695238095235,0.25059200000000004,0.007169042603784365,2.376128,2.4299660000000003,2.4080223500000004,2.4083059999999996,0.012432991334650693,2.690326,2.9591979999999998,2.8101305500000002,2.8315815000000004,0.09333457065014815,1.638339,1.67702,1.6501624500000003,1.6481379999999999,0.009718179039691507,2.272017,2.4821709999999997,2.3914678,2.427473,0.08038189531642057,2.364087,2.404966,2.3800970500000003,2.3772485000000003,0.01082103340478626,21.498214,24.513172,23.239944299999998,23.569257500000003,1.1037178132697283,2.032464,2.054343,2.0445754000000003,2.0453235000000003,0.006378390285957698,10.843984,12.631095,11.90941075,11.963953,0.45434852349048915,0.327151,0.346549,0.33136400000000005,0.33039,0.00396438445411138,0.0,1025.38566297153,1023.2631209655665,1023.2631209655665,1,28,4,3584,18944,152064,True,4096,1
0.24935200000000002,0.281751,0.252247380952381,0.25047200000000003,0.006698067372126219,2.369288,2.414165,2.3875571499999997,2.386067,0.011846466140900468,2.869,3.055075,3.01384495,3.027797,0.03808013453032298,1.627337,1.656858,1.6454879000000002,1.6465779999999999,0.007302562549543753,2.387254,2.52893,2.4960149,2.5035305,0.029902845110290094,2.338088,2.3676479999999995,2.3493099,2.3479875,0.006794304481696299,23.436241000000003,24.315777999999998,24.103686950000004,24.166541000000002,0.1959510765526622,2.027664,2.043822,2.0344117,2.0348034999999998,0.0044323042664059335,12.007912000000001,12.250905000000001,12.133362599999998,12.146748,0.057342776057146,0.32559,0.33447000000000005,0.32759409999999994,0.32719,0.0018036339124112841,0.0,994.7571969823912,1051.47995299194,1051.47995299194,1,28,4,3584,18944,152064,True,4064,1
0.247992,0.280392,0.25082010000000005,0.2490525,0.0068920187528763955,2.356687,2.3926480000000003,2.3724653499999997,2.3723894999999997,0.008819984156873552,2.8939600000000003,3.054716,3.02247065,3.0299760000000004,0.034048015635679774,1.6139389999999998,1.644738,1.63404615,1.634998,0.007704237809640887,2.407214,2.53369,2.5040129,2.514071,0.02820441166360324,2.32305,2.3472470000000003,2.3326725500000003,2.3310880000000003,0.007009461245167124,23.621036,24.388975,24.189314400000004,24.2095595,0.1746846453473805,2.006184,2.024463,2.01612595,2.015884,0.0046596182512626625,12.017832,12.213906999999999,12.152878100000002,12.158888000000001,0.04952290411506567,0.322591,0.33119,0.32413615,0.32379,0.0017858007524637195,0.0,1007.3781829560176,1051.8311739433557,1051.8311739433557,1,28,4,3584,18944,152064,True,4032,1
0.246232,0.284511,0.24970838095238096,0.247672,0.007889584124933274,2.33385,2.384967,2.3513783,2.351149,0.010898658060054908,2.9028400000000003,3.060916,3.0224105499999996,3.0266965,0.035492245035324235,1.605498,1.636939,1.61783455,1.6161180000000002,0.008820706289606321,2.401334,2.5360500000000004,2.50441685,2.5101310000000003,0.031019853106156146,2.3006080000000004,2.337248,2.31584485,2.3128889999999998,0.009794815752606116,23.677074,24.502092,24.212365650000002,24.239499000000002,0.19047270365180247,1.989985,2.015304,2.00020645,1.998625,0.00669109950213715,11.985993,12.252105,12.14146845,12.1412485,0.07124051788587381,0.31783,0.323471,0.31972615,0.3192105,0.0016277897061660002,0.0,995.864327007439,1052.664271031972,1052.664271031972,1,28,4,3584,18944,152064,True,4000,1
0.244872,0.27527100000000004,0.24714080952380954,0.24575200000000003,0.0063240075345505605,2.3100479999999997,2.3432890000000004,2.32737895,2.326791,0.008262765786799351,2.8207220000000004,2.971759,2.9327292,2.9512785000000004,0.03661466248731506,1.5925379999999998,1.62646,1.6030613500000002,1.6007195000000003,0.008322492380741467,2.340055,2.452532,2.42616495,2.4398125000000004,0.02739845455582308,2.2836110000000005,2.306009,2.29583185,2.29579,0.006853244160797062,22.73366,23.599917,23.32933565,23.432661000000003,0.2208157560450065,1.975905,1.995144,1.98572295,1.985745,0.004575511550362449,11.588363,11.830316000000002,11.74341915,11.778918,0.07796985901120707,0.31495,0.32223,0.3168744,0.31623049999999997,0.001932230069117028,0.0,968.7713739695027,1020.2534430427477,1020.2534430427477,1,28,4,3584,18944,152064,True,3968,1
0.241072,0.27227100000000004,0.24394490476190483,0.242512,0.006431960064913657,2.306089,2.3321669999999997,2.31931055,2.3190679999999997,0.007035207789930648,2.819562,2.979998,2.94187695,2.961279,0.04145174965001484,1.574259,1.6040210000000001,1.5860560500000003,1.584219,0.007636299754953353,2.3515349999999997,2.466932,2.4326929,2.439733,0.031462570598887796,2.259051,2.3029290000000002,2.2790059499999997,2.27867,0.009420249054430565,22.765579000000002,23.731832999999998,23.455096450000003,23.5393185,0.26099517744078565,1.9571859999999999,1.9910640000000002,1.9671614499999996,1.9654250000000002,0.007233333529397105,11.559725,11.846036,11.756172950000002,11.794318,0.09178396699395565,0.311351,0.32439,0.3161366,0.31579100000000004,0.003528251839084057,0.0,972.0035869977437,1022.7234759950079,1022.7234759950079,1,28,4,3584,18944,152064,True,3936,1
0.239232,0.274351,0.24191614285714289,0.24019300000000002,0.0072861187282701485,2.28777,2.3111289999999998,2.29821935,2.2973685,0.006825057173936315,2.820522,2.973518,2.934299,2.939239,0.03100389286525159,1.552503,1.576661,1.56581255,1.5660215000000002,0.006415608127644654,2.3163760000000004,2.444692,2.41410925,2.424113,0.027468600271719237,2.251093,2.2766110000000004,2.2627787,2.2611090000000003,0.008032450834583569,22.923255,23.629556,23.4345151,23.4946795,0.14270952039681847,1.942986,1.962426,1.9498838500000002,1.949366,0.004687768939218304,11.657482,11.803557000000001,11.7469892,11.750679000000002,0.04380907611283318,0.309271,0.31643099999999996,0.31246444999999995,0.31255,0.0016761365241232517,0.0,970.0376199907623,1018.4598420164548,1018.4598420164548,1,28,4,3584,18944,152064,True,3904,1
0.23547200000000001,0.269872,0.2381889047619047,0.236353,0.00716366909783741,1.8635409999999997,2.31669,2.2589426,2.27797,0.09158807195339365,2.808882,2.964518,2.93298705,2.940659,0.03275304392186318,1.5371789999999999,1.5655389999999998,1.5500367499999999,1.5495605000000001,0.00794690265370734,2.319296,2.453292,2.4148553999999995,2.4222735,0.0279800051311647,2.226051,2.26449,2.2404949,2.239591,0.009806910904561051,22.963093,23.656155,23.47446785,23.5022795,0.15018508248300633,1.9253060000000002,1.947946,1.9359140999999997,1.9354660000000001,0.006594822407768077,11.669122,11.805437,11.747353100000002,11.752559000000002,0.04473444935717883,0.30687000000000003,0.31231000000000003,0.3093403,0.30957049999999997,0.0013435201189412828,0.0,960.0209119962528,1017.7915800013579,1017.7915800013579,1,28,4,3584,18944,152064,True,3872,1
0.235193,0.271591,0.23809528571428573,0.236192,0.007553276880444217,2.2346090000000003,2.27745,2.24899495,2.2465314999999997,0.011841428784040256,2.700125,2.854961,2.8054546000000005,2.812842,0.03614035227470807,1.5329,1.5491799999999998,1.54031075,1.5404,0.005205221050781646,2.269937,2.380335,2.34916515,2.3592345000000003,0.027907659230532032,2.203493,2.234809,2.22035555,2.220232,0.008345504834789904,21.984801,22.943973999999997,22.6488004,22.735100000000003,0.23751715907959123,1.907307,1.928827,1.91684275,1.9154870000000002,0.006474460300866778,11.214614,11.482646,11.371831499999997,11.388168499999999,0.08421620019479639,0.302551,0.30951,0.30627665000000004,0.30627099999999996,0.0015103630118286128,0.0,937.0691169751808,988.6094540124759,988.6094540124759,1,28,4,3584,18944,152064,True,3840,1
