time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.014558999999999999,0.030638000000000002,0.02598676190476191,0.026158,0.0027519827640788107,0.019838,0.026118,0.0216827,0.021278000000000002,0.0015540767709479471,0.926855,1.044372,0.9964627,0.9921325000000001,0.02847369267780352,0.3615330000000001,0.43349200000000004,0.41101230000000005,0.41229550000000004,0.01406620781909607,0.33563,0.410188,0.3827448000000001,0.381489,0.014757258372068984,1.286605,1.542159,1.42324955,1.428041,0.04386076228871885,0.140795,0.144396,0.1424533,0.1426155,0.001187128219696593,2.021905,2.2891790000000003,2.1621358999999996,2.153642,0.0726033982805902,0.070277,0.07579599999999999,0.07182820000000001,0.071456,0.0014474720584522485,32,32,2560,10240,51200,False,1024,1
0.014478999999999999,0.030159,0.025592666666666666,0.025679,0.002716164405805562,0.019478000000000002,0.032958,0.021578399999999998,0.020798,0.003078279428511973,0.9723339999999999,1.033851,1.0024684500000003,1.0020324999999999,0.01899311743889086,0.357654,0.40201299999999995,0.3886867500000001,0.3911525,0.012162651445614148,0.34735000000000005,0.390668,0.37769305000000003,0.380209,0.009829610259186274,1.291205,1.4136410000000001,1.3637309499999999,1.3716425,0.030495189485351657,0.137156,0.153355,0.1411811,0.13959500000000002,0.003947974023470768,1.9277080000000002,2.3596570000000003,2.1470443,2.1426625,0.09392847232394448,0.067956,0.085796,0.07111605,0.07023599999999999,0.003702973419766876,32,32,2560,10240,51200,False,1016,1
0.012799,0.041358,0.025664952380952382,0.025359000000000003,0.00446852927201728,0.019039,0.026238,0.02069445,0.020019000000000002,0.002115282923748027,0.920894,1.0222120000000001,0.9872469500000001,0.995993,0.02621477110042163,0.337575,0.400732,0.37960485,0.38223300000000004,0.01328873787564115,0.33263,0.387029,0.37059325000000004,0.370389,0.010923167772560303,1.255966,1.397243,1.33661375,1.336243,0.031764723226993474,0.134876,0.14283500000000002,0.13716335,0.136895,0.0016915917733011127,1.9214680000000002,2.3371370000000002,2.1360808000000002,2.156602,0.09661695028544426,0.067516,0.07527600000000001,0.06931430000000001,0.069116,0.0015791394523600507,32,32,2560,10240,51200,False,1008,1
0.012999,0.041198,0.025392714285714286,0.025038,0.004446136376706422,0.018799,0.024238,0.019958450000000003,0.019518,0.0012354789546973272,0.923294,1.037812,0.9795771000000002,0.977074,0.03439008462027972,0.34917499999999996,0.39901200000000003,0.37619525000000004,0.374712,0.014146718707442385,0.34099,0.39634800000000003,0.3721491,0.370709,0.01216420125573398,1.2645650000000002,1.390643,1.3335498000000003,1.326864,0.0365218409620873,0.133276,0.153035,0.1367194,0.135336,0.004197385500522916,1.995547,2.337937,2.1031334500000005,2.080844,0.09164539365918785,0.066916,0.08511600000000001,0.069716,0.06869600000000001,0.0039910098972565835,32,32,2560,10240,51200,False,1000,1
0.012679000000000001,0.026959,0.024265142857142857,0.024719,0.002684520517366791,0.018798,0.024238,0.02031425,0.019919,0.0015668191304359287,0.929695,1.0250519999999999,0.9736214999999998,0.9670335,0.02566691131495957,0.340415,0.405254,0.37236915000000004,0.37259400000000004,0.013059839127167691,0.33471,0.385789,0.37203915000000004,0.372789,0.011353724372535207,1.2122870000000001,1.395522,1.33318375,1.329764,0.04224323547726308,0.130275,0.135635,0.13292340000000005,0.1329955,0.001394256016662649,1.917029,2.3010590000000004,2.0781585000000002,2.0780645,0.08978422627026425,0.066836,0.084236,0.0693783,0.06837649999999999,0.0037041337732322786,32,32,2560,10240,51200,False,992,1
0.012359,0.030438,0.025124095238095234,0.025358000000000002,0.003127663571981669,0.019159,0.029119,0.020642550000000003,0.0200385,0.002364563352397224,0.951334,1.029492,0.9924648500000002,0.9977125,0.02038112548726149,0.346736,0.398173,0.37524745,0.3765735,0.01243975041741192,0.34382999999999997,0.39978800000000003,0.3767431,0.37596900000000005,0.011283144658737658,1.244286,1.4003219999999998,1.3574331000000002,1.3604035,0.03658382958890441,0.13031500000000001,0.147035,0.13317155,0.1325155,0.0035386277916022745,1.86307,2.184181,2.0684405499999996,2.0804445,0.08213749711579664,0.06651599999999999,0.074516,0.06852825,0.06799650000000002,0.002023837490388001,32,32,2560,10240,51200,False,984,1
0.012317999999999999,0.026359000000000004,0.02402114285714286,0.024478000000000003,0.00268167572496705,0.018518999999999997,0.025478,0.019750550000000002,0.0190585,0.001701720613820024,0.9096150000000001,1.018932,0.9722552999999999,0.972933,0.028686969367815764,0.325455,0.389332,0.36517105000000005,0.366613,0.014189852742276781,0.335511,0.388349,0.37241515000000003,0.374029,0.011100882691367388,1.179808,1.407202,1.3310759500000002,1.3256640000000002,0.04916526917497248,0.12615600000000002,0.131315,0.12857754999999998,0.128755,0.0013856608703070122,1.9343080000000001,2.157022,2.0373013,2.0356655000000003,0.06506701841647582,0.065036,0.07223600000000001,0.06795614999999999,0.067856,0.001830817338649601,32,32,2560,10240,51200,False,976,1
0.013158,0.029198,0.024274476190476187,0.024478000000000003,0.002751355555410869,0.018359000000000004,0.024918,0.0193925,0.0190785,0.0013301963200971498,0.945534,1.009532,0.9803691500000001,0.982233,0.019685977383089217,0.3424550000000001,0.391693,0.36663715,0.3651525,0.011665940241896475,0.34491000000000005,0.390149,0.37313929999999995,0.372829,0.010017734190424496,1.245486,1.393723,1.34223965,1.3432235000000001,0.03446205620718966,0.125675,0.131275,0.12854155,0.12891550000000002,0.0015410294116271729,1.917029,2.158582,2.05351095,2.0551649999999997,0.060448236792709706,0.065196,0.072756,0.0677842,0.0676165,0.0019230738571360158,32,32,2560,10240,51200,False,968,1
0.012119,0.028998000000000003,0.023889714285714285,0.024078,0.002870947448439397,0.018239000000000002,0.024038,0.019470650000000003,0.019099,0.0014852119806613466,0.918894,1.001372,0.9748391499999999,0.9741735,0.01971922444285018,0.326614,0.378212,0.36197155,0.36397350000000006,0.011097805699664237,0.325191,0.37850900000000004,0.36878320000000003,0.3706695,0.010979094254992076,1.202727,1.407762,1.3388936500000002,1.3410235,0.04129233842043215,0.12467600000000001,0.130875,0.12731165,0.1272355,0.0018168504141783334,2.0054670000000003,2.2894989999999997,2.1233890000000004,2.112163,0.0796971966658802,0.064876,0.074717,0.06705205,0.06661600000000001,0.0019562695487841146,32,32,2560,10240,51200,False,960,1
0.012279,0.025998,0.023825000000000002,0.024277999999999997,0.0026491987827409616,0.017518000000000002,0.024079,0.019146450000000002,0.0181585,0.0019693813870096367,0.937334,1.017252,0.9750933499999999,0.9728335,0.025040034433432803,0.32517399999999996,0.38853200000000004,0.36313535,0.36425300000000005,0.013444382158637873,0.33295100000000005,0.392308,0.37110715,0.37272900000000003,0.012008800982092253,1.233286,1.377043,1.3329377,1.3422235000000002,0.03546286222529139,0.12295600000000001,0.141236,0.12610565,0.12523600000000001,0.003711045840123778,1.9818660000000001,2.2333000000000003,2.1129473,2.123383,0.06435996271215513,0.064557,0.07315600000000001,0.06685830000000001,0.0665365,0.001864178910405331,32,32,2560,10240,51200,False,952,1
0.011998,0.028277999999999998,0.02335261904761905,0.023719,0.0027531090559443708,0.017559,0.022399000000000002,0.018410550000000005,0.0182585,0.001013883152784383,0.947374,1.015812,0.9715813500000001,0.9658740000000001,0.018230422233933567,0.33725299999999997,0.370413,0.35520155000000003,0.35629450000000007,0.009140964404673074,0.35534899999999997,0.389789,0.36946935000000003,0.3683495,0.007400731060341272,1.271926,1.385842,1.3212000999999998,1.314764,0.027824698697200653,0.120756,0.130716,0.1251397,0.12439549999999999,0.0026379633450827186,1.9558280000000001,2.215501,2.086944,2.081245,0.0712665143542183,0.063276,0.070596,0.0653864,0.0651765,0.0014855814484571357,32,32,2560,10240,51200,False,944,1
0.011998,0.028277999999999998,0.023672714285714283,0.023879,0.002823115319791867,0.017638,0.024198,0.01886235,0.018138,0.0017051320850596885,0.943095,1.030732,0.9860152000000001,0.979633,0.025833570791897877,0.326615,0.372733,0.35677734999999994,0.357352,0.011243828446196605,0.33291000000000004,0.38082900000000003,0.3623294,0.36051,0.01018436901530969,1.222686,1.397322,1.3418614500000001,1.3497435000000002,0.040733857575087365,0.12115600000000001,0.127994,0.12349170000000002,0.12371599999999999,0.001393537193619171,1.9292690000000001,2.2594589999999997,2.0717885000000003,2.0775845,0.07898347959193742,0.063636,0.06971600000000001,0.06576225,0.06555649999999999,0.0013626669393142293,32,32,2560,10240,51200,False,936,1
0.013278000000000002,0.025438,0.02331847619047619,0.023558,0.002336524945482431,0.017478999999999998,0.019319,0.018354600000000002,0.0181785,0.0005984455196590584,0.952334,1.022052,0.9910728499999999,0.9937125,0.021087208696920986,0.3280550000000001,0.372573,0.35497990000000007,0.357614,0.01197039040257249,0.34939,0.37938900000000003,0.36500730000000003,0.365429,0.00865202966996763,1.287605,1.397442,1.33827365,1.3308240000000002,0.03341103551264911,0.11943600000000001,0.132436,0.12277179999999999,0.1223555,0.0029635813739460563,1.976987,2.2581390000000003,2.0868758,2.067824,0.06706331000077473,0.062355999999999995,0.070677,0.06511639999999999,0.0647565,0.002015934582271956,32,32,2560,10240,51200,False,928,1
0.012039,0.026198000000000003,0.023297380952380955,0.023558,0.0026282998211987502,0.017478999999999998,0.028318000000000003,0.01898855,0.017939,0.0025949218191498574,0.922415,1.012853,0.9783171000000002,0.978913,0.021470280754801507,0.314614,0.367893,0.3480278,0.349333,0.010097216758097247,0.32567,0.37350900000000004,0.3606754499999999,0.36166950000000003,0.009881579977286021,1.195687,1.414002,1.3322618499999999,1.326344,0.04547546259937882,0.116836,0.122996,0.11991400000000003,0.119756,0.001571825690081442,1.887109,2.183861,2.0483148499999997,2.046605,0.07767895858871626,0.062316,0.074436,0.06491835,0.0641765,0.002723579047411695,32,32,2560,10240,51200,False,920,1
0.013199,0.024957999999999998,0.022626809523809525,0.022918,0.0021911946647792196,0.017279,0.022039000000000003,0.018346750000000002,0.0181585,0.0010495075928739158,0.9340940000000001,1.031692,0.9827309500000002,0.981473,0.027734400450478442,0.330895,0.38477199999999995,0.35084745,0.346214,0.014551851371818626,0.34723000000000004,0.375029,0.36017745,0.359309,0.00902307791429842,1.2682449999999998,1.3734030000000002,1.3181962500000002,1.3099045,0.03437100866846219,0.116676,0.133035,0.11949570000000001,0.11823600000000001,0.0037205413866801674,1.8751890000000002,2.21346,2.04496505,2.0227459999999997,0.07955632884533759,0.061315999999999996,0.068676,0.06384624999999998,0.0631565,0.0016905487829400254,32,32,2560,10240,51200,False,912,1
0.011679,0.039478,0.023194619047619044,0.022958,0.00437789604257995,0.017398,0.023599000000000002,0.018188550000000005,0.017859,0.0012822492922595046,0.954534,1.016092,0.9828169500000001,0.979373,0.019923934271310468,0.32841400000000004,0.363054,0.3452357,0.343194,0.010443649444040139,0.34403,0.38062900000000005,0.36097945,0.3617495,0.008282456232754875,1.2705250000000001,1.372523,1.32537605,1.326364,0.02734347847929191,0.11579600000000001,0.134396,0.11896789999999999,0.117676,0.003989776245605758,1.8944290000000001,2.180821,2.02594155,2.017826,0.07926766052273462,0.061517,0.068276,0.06327225,0.0629165,0.0016065945933868952,32,32,2560,10240,51200,False,904,1
0.020678000000000002,0.027798,0.022939238095238096,0.022798,0.0012538256469040927,0.016639,0.023918,0.01812445,0.017678000000000003,0.0014635487171597665,0.766818,0.869816,0.8321271500000001,0.8298575,0.025566551500495718,0.306377,0.364772,0.345012,0.3462535,0.014192168329751443,0.276712,0.32043099999999997,0.30694894999999994,0.307871,0.010030018945520481,1.043011,1.2167270000000001,1.1600964500000002,1.161909,0.038588217966725326,0.113516,0.12087600000000001,0.11668579999999998,0.11657600000000001,0.0020350233807010674,1.8428309999999999,2.2217,2.0568507499999997,2.043585,0.09189937307613968,0.060277000000000004,0.06551699999999999,0.06251835000000001,0.062496,0.0013986031701308267,32,32,2560,10240,51200,False,896,1
0.012719,0.039238,0.023316523809523808,0.022718000000000002,0.004314144417953219,0.017119,0.023399000000000003,0.01834655,0.018218500000000002,0.001245644189766886,0.836896,0.8989349999999999,0.86362615,0.8625160000000001,0.016563032008889547,0.32473599999999997,0.36197199999999996,0.34599574999999994,0.34645400000000004,0.010288000004252534,0.287151,0.31979,0.30684665,0.306671,0.008321157102681094,1.11617,1.2069670000000001,1.1700201999999997,1.1609285,0.02630736079427204,0.110996,0.132276,0.11551395000000002,0.113996,0.004662717217192139,1.950987,2.2045410000000003,2.0304594500000004,2.002306,0.07140976334260955,0.060716,0.063196,0.06207625,0.061976500000000004,0.000731045954437888,32,32,2560,10240,51200,False,888,1
0.011559,0.030478,0.022247904761904764,0.022358,0.0029832978540815873,0.016959,0.023438,0.0182065,0.0180785,0.001285492998814074,0.828697,0.8904160000000001,0.86061225,0.866236,0.01792412525864233,0.312576,0.3598920000000001,0.341294,0.34369349999999993,0.011762565583239064,0.289431,0.32071,0.30539079999999996,0.302771,0.008071861511448274,1.09417,1.209887,1.16966415,1.1645285,0.02770371123022149,0.11067600000000001,0.118116,0.11292799999999999,0.11243600000000001,0.0018155814495637473,1.85887,2.213381,2.0032281000000003,1.985307,0.08552624428086386,0.06007600000000001,0.063797,0.0614143,0.061276,0.0007683523996188212,32,32,2560,10240,51200,False,880,1
0.011119,0.026318,0.021701238095238096,0.021799,0.002582138167244199,0.017039000000000002,0.021758,0.01755855,0.017239,0.0010238848800036063,0.814098,0.8849349999999999,0.8431126500000001,0.838257,0.018006434395168296,0.32061500000000004,0.35381300000000004,0.33503004999999997,0.3345745,0.008543129353316624,0.288711,0.31795100000000004,0.30258714999999997,0.3022115,0.006731853038168622,1.09449,1.1930070000000002,1.1468787500000002,1.141629,0.02517755014864438,0.107436,0.130956,0.11184000000000001,0.109776,0.005302475657652751,1.85411,2.127863,2.0032419999999997,1.996486,0.07439632362018969,0.059237000000000005,0.064876,0.06089435,0.0604165,0.0015194984789396783,32,32,2560,10240,51200,False,872,1
0.011279,0.023718,0.02146885714285714,0.021719000000000002,0.002359382612660602,0.016599,0.022399000000000002,0.0181626,0.0173585,0.0017806019880927911,0.800898,0.8845750000000001,0.8444447,0.840617,0.022299931690702556,0.318375,0.354135,0.3322144,0.33209449999999996,0.008612657472580684,0.287311,0.31751100000000004,0.3031129,0.30139099999999996,0.007996061561168727,1.082331,1.2305270000000001,1.14728275,1.1485090000000002,0.03403845898373634,0.10687600000000001,0.116396,0.109816,0.109336,0.0024611054426822115,1.799231,2.046625,1.9589732999999998,1.971627,0.06590890151876304,0.058237000000000004,0.063636,0.060418400000000004,0.060057,0.0014167239110003044,32,32,2560,10240,51200,False,864,1
0.010999,0.023038,0.021204142857142855,0.021638,0.002326618807374756,0.015837999999999998,0.021599,0.0172926,0.0168585,0.001461726185029194,0.763019,0.8779750000000001,0.82060125,0.821217,0.03128618751442082,0.2962160000000001,0.338213,0.3220305,0.32529450000000004,0.011310589412139391,0.27839200000000003,0.310551,0.29664915000000003,0.29729150000000004,0.010009425699184745,1.063531,1.213967,1.1229993500000002,1.124049,0.03833693534996637,0.104396,0.113956,0.10771805000000001,0.107036,0.0025096254596054784,1.83707,2.079824,1.9510115,1.9335285,0.06781837573585793,0.057997,0.063797,0.05984055000000001,0.059676999999999994,0.0014141088527761944,32,32,2560,10240,51200,False,856,1
0.011079,0.022959,0.021108904761904763,0.021518000000000002,0.0022787761106256746,0.015559,0.022718000000000002,0.016916650000000002,0.016618,0.0014337052791630505,0.760699,0.8669370000000001,0.8097377499999998,0.800918,0.03493189902063014,0.298013,0.34369299999999997,0.3191145,0.3177939999999999,0.011225760430812692,0.276552,0.316031,0.29253724999999997,0.29199149999999996,0.011342759769452053,1.044931,1.189767,1.1057697999999998,1.09375,0.04175666448795928,0.103637,0.11379600000000001,0.10586019999999999,0.1054965,0.0021162000519799632,1.7426730000000001,2.080185,1.9604931999999997,1.9678274999999998,0.08321072559748531,0.057557000000000004,0.063276,0.05903864999999999,0.0586765,0.0012838666704529712,32,32,2560,10240,51200,False,848,1
0.011118000000000001,0.025958,0.021204095238095237,0.021278,0.0025938369061472635,0.015518,0.023439,0.017274499999999998,0.016758,0.002065211914065964,0.756939,0.895015,0.8206473000000001,0.824737,0.041143504703780386,0.301174,0.34245300000000006,0.31867239999999997,0.3174739999999999,0.012316589732551795,0.270952,0.31755099999999997,0.29304739999999996,0.29551099999999997,0.014296256836668814,1.035171,1.216847,1.11615955,1.12451,0.05430108055414273,0.100596,0.108436,0.10394220000000001,0.103357,0.002026599555906395,1.717914,2.081464,1.9449336000000002,1.971427,0.08833469609581503,0.057277,0.066756,0.059238500000000006,0.058516000000000006,0.0021475516873872905,32,32,2560,10240,51200,False,840,1
