compile_warmup_wall_ms,warmup_wall_ms,measured_kernel_wall_ms,measured_kernel_mean_ms,active_steps,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
2017.598185047973,2017.598185047973,3.2668299973011017,0.6533659994602203,5,2560,32,32,16,1,4096,1,64,0,True,triton
0.0,3.442996006924659,5.7620309526100755,1.152406190522015,5,2560,32,32,16,1,4096,1,64,64,True,triton
0.0,4.765608988236636,10.973819007631391,2.1947638015262783,5,2560,32,32,16,1,4096,1,64,128,True,triton
0.0,456.2465620110743,11.475865030661225,2.295173006132245,5,2560,32,32,16,1,4096,1,64,192,True,triton
0.0,8.036599028855562,13.840719999279827,2.7681439998559654,5,2560,32,32,16,1,4096,1,64,256,True,triton
0.0,6.619177991524339,14.337375992909074,2.8674751985818148,5,2560,32,32,16,1,4096,1,64,320,True,triton
0.0,7.83026497811079,16.191215021535754,3.238243004307151,5,2560,32,32,16,1,4096,1,64,384,True,triton
0.0,8.694170974195004,18.82672298233956,3.765344596467912,5,2560,32,32,16,1,4096,1,64,448,True,triton
0.0,9.251846000552177,20.324010984040797,4.064802196808159,5,2560,32,32,16,1,4096,1,64,512,True,triton
0.0,10.716994991526008,22.676776978187263,4.535355395637453,5,2560,32,32,16,1,4096,1,64,576,True,triton
0.0,11.310328962281346,25.195187015924603,5.0390374031849205,5,2560,32,32,16,1,4096,1,64,640,True,triton
0.0,14.822583005297929,27.987701003439724,5.597540200687945,5,2560,32,32,16,1,4096,1,64,704,True,triton
0.0,17.32969400472939,32.82352798851207,6.564705597702414,5,2560,32,32,16,1,4096,1,64,768,True,triton
0.0,14.137121965177357,32.121516996994615,6.424303399398923,5,2560,32,32,16,1,4096,1,64,832,True,triton
0.0,15.992379980161786,34.59766000742093,6.9195320014841855,5,2560,32,32,16,1,4096,1,64,896,True,triton
0.0,15.58667200151831,37.97447599936277,7.594895199872553,5,2560,32,32,16,1,4096,1,64,960,True,triton
0.0,20.240783982444555,41.99945600703359,8.399891201406717,5,2560,32,32,16,1,4096,1,64,1024,True,triton
0.0,18.07243301300332,46.43934400519356,9.287868801038712,5,2560,32,32,16,1,4096,1,64,1088,True,triton
0.0,18.813844013493508,44.541285024024546,8.90825700480491,5,2560,32,32,16,1,4096,1,64,1152,True,triton
0.0,19.926662964280695,45.09980004513636,9.019960009027272,5,2560,32,32,16,1,4096,1,64,1216,True,triton
0.0,21.112809015903622,52.23937501432374,10.447875002864748,5,2560,32,32,16,1,4096,1,64,1280,True,triton
0.0,23.60939100617543,52.91115603176877,10.582231206353754,5,2560,32,32,16,1,4096,1,64,1344,True,triton
0.0,26.589429995510727,52.13884700788185,10.42776940157637,5,2560,32,32,16,1,4096,1,64,1408,True,triton
0.0,27.25099102826789,56.742471002507955,11.348494200501591,5,2560,32,32,16,1,4096,1,64,1472,True,triton
0.0,25.082751002628356,57.060702005401254,11.41214040108025,5,2560,32,32,16,1,4096,1,64,1536,True,triton
0.0,25.29451495502144,59.94193296646699,11.988386593293399,5,2560,32,32,16,1,4096,1,64,1600,True,triton
0.0,26.43235301366076,65.6699959654361,13.13399919308722,5,2560,32,32,16,1,4096,1,64,1664,True,triton
0.0,26.69687703019008,62.63854796998203,12.527709593996406,5,2560,32,32,16,1,4096,1,64,1728,True,triton
0.0,27.12299401173368,63.770167995244265,12.754033599048853,5,2560,32,32,16,1,4096,1,64,1792,True,triton
0.0,29.33140395907685,67.64795101480559,13.529590202961117,5,2560,32,32,16,1,4096,1,64,1856,True,triton
0.0,31.34070901433006,70.13595302123576,14.027190604247153,5,2560,32,32,16,1,4096,1,64,1920,True,triton
0.0,31.208792992401868,74.25968901952729,14.851937803905457,5,2560,32,32,16,1,4096,1,64,1984,True,triton
0.0,2.8781709843315184,4.057348007336259,0.8114696014672518,5,2560,32,32,16,1,4096,1,80,0,True,triton
0.0,3.7714370409958065,6.293877027928829,1.2587754055857658,5,2560,32,32,16,1,4096,1,80,80,True,triton
0.0,4.50061698211357,8.789958024863154,1.7579916049726307,5,2560,32,32,16,1,4096,1,80,160,True,triton
0.0,5.990364996250719,12.019510031677783,2.4039020063355565,5,2560,32,32,16,1,4096,1,80,240,True,triton
0.0,6.794514018110931,14.218538999557495,2.843707799911499,5,2560,32,32,16,1,4096,1,80,320,True,triton
0.0,8.023838978260756,17.78348197694868,3.5566963953897357,5,2560,32,32,16,1,4096,1,80,400,True,triton
0.0,9.352653054520488,20.578334981109947,4.115666996221989,5,2560,32,32,16,1,4096,1,80,480,True,triton
0.0,9.90351801738143,22.171741002239287,4.434348200447857,5,2560,32,32,16,1,4096,1,80,560,True,triton
0.0,11.395376990549266,25.904668029397726,5.180933605879545,5,2560,32,32,16,1,4096,1,80,640,True,triton
0.0,12.50601705396548,28.026839019730687,5.605367803946137,5,2560,32,32,16,1,4096,1,80,720,True,triton
0.0,13.561636966187507,41.680303984321654,8.33606079686433,5,2560,32,32,16,1,4096,1,80,800,True,triton
0.0,15.845945046748966,33.98424602346495,6.79684920469299,5,2560,32,32,16,1,4096,1,80,880,True,triton
0.0,16.27063303021714,39.34952901909128,7.869905803818256,5,2560,32,32,16,1,4096,1,80,960,True,triton
0.0,18.41935404809192,41.00315400864929,8.200630801729858,5,2560,32,32,16,1,4096,1,80,1040,True,triton
0.0,19.255030958447605,42.776214017067105,8.555242803413421,5,2560,32,32,16,1,4096,1,80,1120,True,triton
0.0,24.591853958554566,49.10243098856881,9.820486197713763,5,2560,32,32,16,1,4096,1,80,1200,True,triton
0.0,24.793879012577236,48.00417000660673,9.600834001321346,5,2560,32,32,16,1,4096,1,80,1280,True,triton
0.0,22.344475029967725,50.942300993483514,10.188460198696703,5,2560,32,32,16,1,4096,1,80,1360,True,triton
0.0,25.24249703856185,52.715790981892496,10.5431581963785,5,2560,32,32,16,1,4096,1,80,1440,True,triton
0.0,23.590940982103348,55.28312100796029,11.056624201592058,5,2560,32,32,16,1,4096,1,80,1520,True,triton
0.0,24.90588597720489,59.148194966837764,11.829638993367553,5,2560,32,32,16,1,4096,1,80,1600,True,triton
0.0,26.596368988975883,62.0372659759596,12.40745319519192,5,2560,32,32,16,1,4096,1,80,1680,True,triton
