time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,compile_warmup_wall_ms,warmup_wall_ms,measured_kernel_wall_ms,measured_kernel_mean_ms,active_steps,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std
0.0,0.0,0.0,0.0,0.0,0.14310399999999984,0.145789,0.14471320000000015,0.14522600000000016,0.0010219756161476184,0.15667300000000003,0.161273,0.159545,0.15931299999999998,0.0016872984324060657,0.0,0.0,0.0,0.0,0.0,358.2162540005811,358.2162540005811,31.793210000614636,6.358642000122927,5,5120,40,8,16,1,4096,1,64,0,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.2842089999999995,0.5190880000000009,0.33348159999999993,0.2888489999999989,0.09282455456957542,0.08451600000000002,0.264349,0.22704620000000003,0.26298799999999994,0.07128474755626198,0.0,0.0,0.0,0.0,0.0,0.0,23.500909002905246,194.79221499932464,38.95844299986493,5,5120,40,8,16,1,4096,1,64,64,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.42607899999999893,0.42755700000000035,0.42674080000000086,0.42671800000000165,0.00047764396782549583,0.35374500000000003,0.35978499999999997,0.3564172,0.35502600000000006,0.002575270735281999,0.0,0.0,0.0,0.0,0.0,0.0,30.8856840019871,71.19424800112029,14.238849600224057,5,5120,40,8,16,1,4096,1,64,128,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.559947000000004,0.8070879999999977,0.6624663999999993,0.5694199999999974,0.11790492940772103,0.14951299999999998,0.453222,0.32058660000000005,0.29142700000000005,0.11353920218955216,0.0,0.0,0.0,0.0,0.0,0.0,342.2148150020803,267.37995900111855,53.47599180022371,5,5120,40,8,16,1,4096,1,64,192,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.7051360000000039,0.9477570000000008,0.8500982000000009,0.9420789999999986,0.1164627953732852,0.31666700000000003,0.536299,0.445862,0.47214000000000006,0.089162323316522,0.0,0.0,0.0,0.0,0.0,0.0,48.05255600149394,113.57219199999236,22.71443839999847,5,5120,40,8,16,1,4096,1,64,256,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.8365510000000081,1.0977779999999984,1.0415550000000042,1.0914659999999994,0.10254483318821862,0.44586200000000004,0.6354949999999999,0.5518498,0.557857,0.06299214632761767,0.0,0.0,0.0,0.0,0.0,0.0,236.89489900061744,130.91646600150852,26.183293200301705,5,5120,40,8,16,1,4096,1,64,320,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9858250000000016,1.235848,1.1345194000000018,1.2301709999999972,0.1212131184362454,0.554418,0.7231710000000001,0.6439822,0.6241749999999999,0.06605590181475085,0.0,0.0,0.0,0.0,0.0,0.0,236.19913600123255,152.07174500028486,30.414349000056973,5,5120,40,8,16,1,4096,1,64,384,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.106374000000008,1.3781550000000071,1.2192940000000003,1.1246900000000024,0.12374491652912671,0.28110799999999997,0.810688,0.6101835999999999,0.8048879999999999,0.24365645650677922,0.0,0.0,0.0,0.0,0.0,0.0,254.43991599968285,350.85524700116366,70.17104940023273,5,5120,40,8,16,1,4096,1,64,448,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.251228999999997,1.5191439999999965,1.4604048000000018,1.5093540000000047,0.10469870727263268,0.682053,0.901084,0.7801210000000001,0.804288,0.08043884093148033,0.0,0.0,0.0,0.0,0.0,0.0,81.99402399986866,377.96167700071237,75.59233540014247,5,5120,40,8,16,1,4096,1,64,512,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.385742000000006,1.6640189999999981,1.6013124,1.6496519999999937,0.10793138472677632,0.3445460000000001,0.9346429999999999,0.5465702,0.5230589999999999,0.21613529169055198,0.0,0.0,0.0,0.0,0.0,0.0,90.41978099776316,590.1150059980864,118.02300119961728,5,5120,40,8,16,1,4096,1,64,576,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.537411999999979,1.7972369999999855,1.6918765999999934,1.7895559999999953,0.12409690152553506,0.384704,1.086557,0.75001,0.697932,0.27195265431835747,0.0,0.0,0.0,0.0,0.0,0.0,100.1906860001327,421.1191710019193,84.22383420038386,5,5120,40,8,16,1,4096,1,64,640,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.6766720000000062,1.9392739999999786,1.7827201999999929,1.6852309999999842,0.12430862566756033,0.402823,0.998561,0.6139196,0.581137,0.21507289251005113,0.0,0.0,0.0,0.0,0.0,0.0,283.0839570015087,435.9740219988453,87.19480439976905,5,5120,40,8,16,1,4096,1,64,704,True,triton,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.8180649999999847,2.080522000000023,2.0122112000000074,2.06965000000003,0.09929287765274335,0.398584,0.9846010000000001,0.7152034,0.769569,0.24636095349921022,0.0,0.0,0.0,0.0,0.0,0.0,290.83915000228444,462.77982300307485,92.55596460061497,5,5120,40,8,16,1,4096,1,64,768,True,triton,0.0,0.0,0.0,0.0,0.0
